"","Date","Site","Sat","LINEAGEQA","PIXELQA","RADSATQA","SRAEROSOLQA","SRATMOSOPACITYQA","SRB1","SRB2","SRB3","SRB4","SRB5","SRB6","SRB7","SRCLOUDQA","SatDate"
"1",2007-01-01,"B1",7,1,68,0,NA,9,471,635,443,154,73,NA,18.5,32,2007-01-01
"2",2007-01-17,"B1",7,1,68,0,NA,8,492.5,709,567.5,182,105,NA,55,32,2007-01-17
"3",2007-01-26,"B1",7,2,68,0,NA,9,492,541,377,126,68,NA,71,32,2007-01-26
"4",2007-02-02,"B1",7,1,192,0,NA,8,831.5,1024.5,898,828.5,988.5,NA,898.5,32,2007-02-02
"5",2007-02-27,"B1",7,2,68,0,NA,28,312.5,343.5,208.5,135,65,NA,55,32,2007-02-27
"6",2007-03-15,"B1",7,2,68,0,NA,16.5,354,473,243,141.5,60,NA,24,32,2007-03-15
"7",2007-03-31,"B1",7,2,68,0,NA,39.5,288,351,199.5,120,52.5,NA,46,32,2007-03-31
"8",2007-04-07,"B1",7,1,68,0,NA,9,340,392,260,162.5,65,NA,57,36,2007-04-07
"9",2007-04-16,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-04-16
"10",2007-05-02,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-05-02
"11",2007-05-09,"B1",7,1,68,0,NA,8,306,382,252,196,124,NA,107,34,2007-05-09
"12",2007-05-18,"B1",7,2,68,0,NA,25,501.5,571.5,391.5,333,219,NA,140.5,40,2007-05-18
"13",2007-05-25,"B1",7,1,96,0,NA,16,667,782.5,625.5,648,593.5,NA,490.5,2,2007-05-25
"14",2007-06-03,"B1",7,2,68,0,NA,45,465,450.5,281,253,151.5,NA,105,36,2007-06-03
"15",2007-06-19,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-06-19
"16",2007-06-26,"B1",7,1,68,0,NA,9,400.5,549,287,144,102,NA,63.5,32,2007-06-26
"17",2007-07-12,"B1",7,1,68,0,NA,8,425.5,531.5,382.5,289.5,233,NA,198.5,32,2007-07-12
"18",2007-07-21,"B1",7,2,224,0,NA,9,751,784,705.5,681,572.5,NA,460,40,2007-07-21
"19",2007-08-22,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-08-22
"20",2007-08-29,"B1",7,1,68,0,NA,9,233,285.5,177.5,146,66,NA,35,32,2007-08-29
"21",2007-10-09,"B1",7,2,68,0,NA,31,349.5,363.5,338,346,236,NA,191.5,0,2007-10-09
"22",2007-10-16,"B1",7,1,68,0,NA,8,239,250,189,136.5,65,NA,40.5,32,2007-10-16
"23",2007-10-25,"B1",7,2,68,0,NA,8,308.5,334.5,216.5,123,69,NA,43,32,2007-10-25
"24",2007-11-01,"B1",7,1,68,0,NA,8,264,372.5,246,129,71,NA,60,32,2007-11-01
"25",2007-11-17,"B1",7,1,68,0,NA,8,368,567.5,412.5,132,96,NA,49.5,32,2007-11-17
"26",2007-12-03,"B1",7,1,68,0,NA,9,376.5,620,345.5,103,32,NA,NA,32,2007-12-03
"27",2007-12-19,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-12-19
"28",2007-12-28,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2007-12-28
"29",2008-01-13,"B1",7,2,68,0,NA,9,379.5,521.5,557.5,153,34,NA,NA,32,2008-01-13
"30",2008-01-20,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-01-20
"31",2008-01-29,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-01-29
"32",2008-03-24,"B1",7,1,68,0,NA,8,338,455,380.5,247.5,129,NA,109,36,2008-03-24
